no,칸,문장,판정(positive/negative/neutral),메모
827,장점,긍정적인 사고로 주변사람들에게 좋은 에너지를 줍니다,,
828,단점,단점이 크게; 없습니다,,
829,장점,업무 집중력이 좋음,,
830,단점,업무능력 향상을 위해 노력하므로 보완할 점 없다,,
831,단점,야근이 많은 차장 생활 건강 유의 필요,,
832,단점,타 부서원들과의 교류가 부족,,
833,단점,ㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ,,
834,장점,부드러운 리더십의 소유자,,
835,단점,"업무의 열의가 없음, 업무지식이 부족, 수동적임, 대충대충하려고함",,
836,단점,피곤해 보이며 말이 없음,,
837,장점,업무열의 및 업무수행능력 우수,,
838,단점,근태가 불량함,,
839,장점,신속한 의사결정 및 빠른 실행력,,
840,장점,권위주의적이지 않고 밝음,,
841,단점,말이 좀 많음,,
842,단점,보완할 점은 정말로 없습니다,,
843,장점,전자제어 쪽 업무 잘 아십니다,,
844,단점,보다 도전적인 업무자세 필요,,
845,장점,직원들 업무수행함에 있어서 편안하게 함,,
846,단점,윤리의식이 낮으며 업무에 소홀함,,
847,단점,성과기여도 업무열의 등 보완사항이 없습니다,,
848,장점,조직 목표달성에 대한 추진력이 탁월하며 타부서와의 협업능력이 현저히 뛰어남,,
849,장점,좋으신 분이라고 생각합니다,,
850,단점,동료간 소통이 필요함,,
851,장점,맡은일에 대해 책임감이 있음,,
852,장점,젊은 직원들과 소통이 잘되신다,,
853,단점,업무 경험과 폭넓은 네트워크 형성,,
854,장점,적극적인 업무태도가 좋습니다,,
855,장점,"업무에 열정적으로 임하셔서, 타의 귀감이 되십니다",,
856,단점,모든 일을 남에게 미루려고 함,,
857,장점,부드러운 성격으로 좋은 대인관계,,
858,단점,상상 및 부서원간 업무소통능력,,
859,장점,본인 업무에 대한 자신감이 높음,,
860,장점,회사 업무 전반적으로 관심이 많고 소통이 잘됨,,
861,단점,이 사람에 대해 아는 것이 전혀 없음,,
862,단점,상대방 공감능력 보완필요,,
863,장점,맡은 바 업무를 책임감있게 꼼꼼히 처리하려 노력하심,,
864,단점,수평적 의사소통이 부족하다,,
865,장점,인성이 바르고 협업능력 보유,,
866,장점,"업무 노하우, 성과 극대화",,
867,장점,동료직원들과 원만한 관계를 가져 의사소통이 좋습니다,,
868,단점,"매사에 긍정적이고, 부드럽다",,
869,단점,항상 노력하고 있어 보완사항 없음,,
870,장점,전문성및 업무열의가 우수하다,,
871,단점,"업무에 대한 지식과 능동적인 태도, 성평등 의식이 부족함",,
872,장점,꼼꼼한 서류검토 능력이 있음,,
873,장점,업우에 대한 열정 및 이해력 뛰어남,,
874,장점,전문분야에서 리더쉽을 갖췄습니다,,
875,단점,능력은 없으나 무능력을 자랑시함,,
876,장점,"적극적인 자세, 소통능력",,
877,장점,업무의 적극성 및 협업능력,,
878,장점,맡은 바 업무를 성실히 수행하고자 노력합니다,,
879,장점,"합리적인 사고 판단과 수평적 의사소통을 통한 리더십으로 모범을 보이며, 불요불급한 일버리기에 솔선수범하여 조직 분위기를 활성화 시킴",,
880,장점,"업무처리 능력이 뛰어나고, 우선순위를 정하여 해결책을 제시함",,
881,단점,딱히 보안필요점없음,,
882,장점,"민간기업 연구소 경력을 기반으로 뛰어난 전문성 보유, 향후 핵심 성과 창출 기여 가능",,
883,장점,변전분야 베테랑으로서 뛰어난 직무지식 및 소양을 겸비하고 있음,,
884,장점,본부내 다양한업무지식 보유,,
885,단점,"업무에 대한 열의로 다양한 업무 추진, 경감필요",,
886,단점,다소 지나친 열의로 피해를 볼수 있습니다,,
887,장점,맡은 업무를 매우 충실하게 수행,,
888,단점,"팀원들과 소통 부족, 업무 추진의 적극성 부족",,
889,단점,업무에 더욱 충실하며 자기 개발에 최선을 다해야한다,,
890,단점,업무적으로 경험이 많이 필요할듯함,,
891,장점,고객응대에 적극적임,,
892,단점,전문성과 적극성을 길렀으면 좋겠음,,
893,장점,맡은업무에 대해 충실히 이행함,,
894,단점,모든업무에 적극적이며 보완할점 없음,,
895,장점,전문 분야에서의 전문성,,
896,장점,업무에 책임을 가지고 열심히 함,,
897,장점,악성민원인 대응에 적극적이고 업무지식이 뛰어나십니다,,
898,장점,우선순위를 정하여 해결책을 제시함으로써 다양한 업무를 잘 하는 직원입니다,,
899,단점,일의 접점이 없어 잘모름,,
900,장점,"업무적인 지식이 탁월하며, 고객응대가 능숙함",,
901,장점,"에너지신사업분야 전문가로, 특히 신산업펀드에 특화된 인재로 훌륭합니다",,
902,단점,부서 직원간 소통 필요,,
903,장점,잘 융합하는 성격이다,,
904,단점,업무를 열심히 배우려고 하는 태도를 갖추었으면 좋겠다,,
905,장점,"항상 공정하고 투명한 업무처리로 직원들이 종경하고 있으며, 주인의식과 전문성을 가진 책임감이 강함",,
906,단점,상사와 직원들간의 소통이 다소 부족,,
907,장점,또한 폭넓은 업무지식으로 업무에 많은 도움을 주십니다,,
908,단점,상대방에게 싫은 소리를 잘 못함,,
909,장점,주어진 업무에 최선을 다하며 끊임없이 배우려는 자세,,
910,단점,전문적인 지식을 바탕으로 수평적 의사소통을 위해 항상 노력함,,
911,단점,소통하고자 하는 노력이 많이 필요함,,
912,단점,보완할점이 없다고 생각됩니다,,
913,장점,"최신 지식,정보를 꾸준히 학습, 과감한 도전",,
914,장점,업무를 잘하기 위해 열심히 함,,
915,장점,"리더십, 업무능력, 부하중심",,
916,장점,"업무 처리 능력이 뛰어나며, 전문성이 있음",,
917,장점,착한성심과 성실한 자세,,
918,장점,협력 회사와 가깝게 지내며 책상 주변이 깔끔함,,
919,장점,매사 업무에 성실히 임하며 책임감을 가지고 일함,,
920,장점,중간관리자로서 역할수행함,,
921,장점,"자기개발에 힘쓰며, 부하직원과의 썅방향 소통에 부단한 노력을 함",,
922,장점,고객응대 능력이 탁월하고 책임감 있믐,,
923,단점,환경변화를 예즉 예지,,
924,장점,사교성이 좋고 타인에 대해 희생적임,,
925,단점,남에일에 별로 관심이 없으신거 같음,,
926,단점,보안필요점 없음,,
927,장점,기술 및 사무적인 전체적인 업무에 전문성이 뛰어남,,
928,장점,탁월한 리더십과 실행력을 겸비하였습니다,,
929,단점,수평적인 의사소통이 필요해보임,,
930,장점,자신에게 주어진 일은 큰 과오없이 수행함,,
931,장점,업무에 대한 열의가 뛰어나며 맡은 업무를 끝까지 처리하는 능력이 탁월함,,
932,단점,여러가지 일을 할때 좀더 분배하고 나누는 능력을 키우면 좋을 듯 합니다,,
933,단점,업무처리에 있어 다소 수동적임,,
934,장점,",ㅗㅑ,ㅣㅗ,ㅐㅗㅑㅣ,ㅚ",,
935,장점,"최신 지식 정보를 꾸준히 학습, 적극적인 마인드",,
936,단점,업무협업 및 소통 아쉬움,,
937,장점,전략 및 계획 변경을 통한 구체적 변화 창조가능,,
938,단점,보완사항이 무,,
939,장점,프로젝트팀 리더로 모범을 보이며 업무 전반에 이해가 탁월하여 타의 모범이됨,,
940,장점,맡은바 성실하게 이행함,,
941,단점,모든 부분에서 성격이 너무 급함,,
942,장점,일에 대한 열정이 뛰어나며 업무처리 속도가 빠르고 동료애가 강함,,
943,단점,말을 간결히 정리해서 하면 직원들이 업무가 더 수월해질 것임,,
944,단점,자신에 대한 배려가 필요,,
945,장점,"업무열의가 뛰어나고, 전문성을 가지고 리드하심",,
946,장점,직원들을 챙겨주려는 마음이 있음,,
947,장점,"승격하고 본사근무가 처음, 해외사업도 처음인데, 실 주무로써 똑부러지게 업무처리 잘 하심",,
948,단점,예의를 지키지 않음,,
949,장점,"전문적인 지식과 능력을 바탕으로 부서원들에게 좋은 리더로 자리잡고 있으며, 필요한 일과 그렇지 않은 일을 구분하여 부서원들의 업무가 원활하게 수행될 수 있도록 조력하는 역할에 탁월한 능력을 보임",,
950,장점,전문성이 높고 업무에 열정적인 모습을 보임,,
951,단점,부하직원의 변화롸 발전을 지원,,
952,장점,"맡은 업무에 최선을 다함,문제점을 보완함",,
953,장점,맡은 바 업무에 최선을 다하고 있음,,
954,장점,최적의 판단과 친화력 우수,,
955,장점,긍정적인 마인드로 열심히 일함,,
956,장점,"업무에 대한 열의가 뛰어나고, 적극적인 고객관리 활동으로 고객관리업무 능력이 월등함",,
957,장점,업무에 대한 지식이 많고 이해도가 높음,,
958,단점,보완 필요점을 딱히 찾기 어려움+,,
959,장점,차분히 업무를 처리함,,
960,단점,직원들간의 소통에서 있어 소홀하며 세세하게 지시 감독하는 성향이 강하십니다,,
961,단점,본인 업무에만 적극성과 전문성 보유,,
962,단점,좋은 간부로 성장하실 것 같음,,
963,장점,직무를 떠나 직원들과 원활한 관계를 유지,,
964,단점,규정미준수하여 처리하는 경우가 잦음,,
965,장점,업무에 대한 노하우와 전문성이 우수함,,
966,단점,"업무추진 결정에 있어 신속하심, 중간점검 필요",,
967,단점,조직원과의 원활한 이해 관계,,
968,장점,협업 엄무능력 의사소통 리더십 적응력 최고,,
969,장점,높은 사교성으로 협업 분위기 조성에 앞장서고 있음,,
970,장점,전문성과 협업능력이 뛰어나서 성과를 창출함,,
971,장점,신속한 의사결정 및 날카로운 업무검토로 문제해결을 잘 함,,
972,장점,전문적인 업무지식과 열정기반으로 업무수행능력이 탁월하다,,
973,단점,마음이 여리고 걱정이 많음,,
974,장점,모든면에서 뛰어난 분입니다,,
975,장점,후배들에게 존경받는 선배,,
976,장점,"오랜 경험을 바탕으로한 영업 전문가로서 세대간, 부서간 소통이 뛰어남",,
977,장점,맡은바 자기일에 최선을 다함,,
978,단점,자기감정 조절능력이 필요,,
979,장점,열정적이고 적극적으로 일한다,,
980,장점,인자하고 부드러운 리더십으로 편안한 업무분위기 조성,,
981,장점,업무처리와 업무하는데 센스가 있음,,
982,단점,오랜 경험에서 나오는 정보를 함계 공유,,
983,장점,업무 및 본인의 일에 대해 꼼꼼하여 신뢰성이 두터움,,
984,단점,구시대적 사고보유하고 있습니다,,
985,단점,업무에 대한 이해도가 떨어지며 일을 두번 세번 하게함,,
986,단점,업무상 특별하게 보안 할 사항 없음,,
987,단점,특이한 보완사항을 알지 못함,,
988,단점,"고압적인 자세로 부서직원들의 사기 저하가 발생, 좀 더 유연하고 수평적인 마인드 필요",,
989,장점,직원들과의 원만한관계유지,,
990,장점,모든 업무에 적극적으로 참여합니다,,
991,장점,맡은 업무에 적극적이고 성실히 함,,
992,장점,"핵심성과 도출, 끈기와 집념으로 목표 달성, 업무에 몰입, 적극적인 마인드, 업무 능숙함, 폭넓은 지식, 혁신적 아이디어 제시, 인격적 소양, 신속한 의사결정, 협업 뛰어남, 새로운 업무 적응능력",,
993,단점,업무 시간에는 온전히 업무에만 집중,,
994,장점,맡은 업무에 최선을 다하십니다,,
995,단점,공동업무에 협조를 하였으면 함,,
996,단점,"보완필요점이 없고, 항상 초심을 잃지 않길 바람",,
997,장점,업무에 대한 이해도가 빠르며 항상 차분함,,
998,단점,지나친 워크 홀릭임으로 개인건강 유념필요,,
999,단점,동료들엑 ㅔ배려심이 깊고 매사에 열정적임,,
1000,단점,한 가지 집중시 편견에 치우칠 우려가 존재함,,
1001,장점,맡은일에 최선을 다하며 주변직원과 사이가 좋음,,
1002,장점,도전적 목표 설정 및 꾸준한업무공부,,
1003,장점,원만한 성격으로 부서원들과 전반적으로 같이 잘지내며 업무를 잘 처리함,,
1004,단점,업무 추진의 방향이 적절하지 못함,,
1005,단점,"무책임감,비전문성,회피,불성성",,
1006,장점,본인의 업무 이외에 업무 전반에 대해 이론과 원리를 체계적으로 설명할 수 있을 정도의 전문적인 지식과 기술을 가지고 있다,,
1007,장점,중요한 결정을 신속하게 내리는 능력과 정보를 정확하게 수닙하고 분석하여 최종 결정을 내리는 능력이,,
1008,장점,탁월한 업무 지식 및 추진력,,
1009,단점,"협업,소통 능력 부족 / 업무 열의 부족 / 새로운 업무 적응 능력 부족",,
1010,장점,업무처리에 최선을 다하여 솔선수범하며 직원들에 대한 원활한 소통능력과 자상한 배려심을 가진 리더쉽을 보유,,
1011,단점,특정인과의 관계에 치중되는 모습이 보임,,
1012,단점,"소통부족,,, 업무처리 미흡",,
1013,단점,지속적으로 돌료 직원간 갈등을 조장,,
1014,장점,카리스마 있으며 단호한 결단력으로 업무를 처리합니다,,
1015,장점,현장 업무 추진력이 우수하다,,
1016,단점,문제발생시 모든책임을 전가시킴,,
1017,장점,효율적인 업무 지시로 근무환경을 잘 형성 시켜주시는것 같습니다,,
1018,단점,조직 통솔 및 장악력,,
1019,장점,업무경험을 바탕으로 민원발생 최소화,,
1020,단점,부서간 소통이 필요합니다,,
1021,단점,다양한 직군에 대한 이해가 필요함,,
1022,단점,업무 경험에 대한 공유,,
1023,단점,사업소의 실정에 맞게 개선을 하여 업무가 진행되었으면 합니다,,
1024,장점,항상 밝은 미소로 직원들을 대하며 차분함,,
1025,단점,판단이 아쉬움,,
1026,장점,처음하는 기술적인 업무에도 이해도가 높고 민원발생 처리 및 방향설정에 판단이 빠르고 정확해,,
1027,단점,조용한 성격으로 의견제시에 적극적이지 않음,,
1028,단점,너무조용하셔서 존재감이,,
1029,장점,맡은 바 업무를 수행하는 듯한 모습을 보임,,
1030,단점,"업무 적극성 및 열의가 낮아 스스로 동기부여가 필요하며, 주변 동료들과 소통능력의 보완 필요함",,
1031,단점,깊이 대해 보지 않아 잘 모르겠습니다,,
1032,장점,업무에 열의가 있으며 책임감을 가지고 업무에 임합니다,,
1033,장점,솔선수범하는 자세와 진취적 업무추진력,,
1034,장점,소신있께 자신의 업무를 처리 합니다,,
1035,장점,상하간 원활한 교류,,
1036,장점,본인업무를 잘 처리하고 주변에 도움이 됨,,
1037,장점,본인의 설계업무를 진행,,
1038,장점,업무에 대한 전문성은 있음,,
1039,단점,구성원들과의 친밀감이 아주 조금 낮음,,
1040,단점,자기중심적 의사결정,,
1041,장점,업무를 적극적으로 수행하며 주변 동료들을 돕는 모습을 보임,,
1042,단점,자기중심적 사고가 상존함,,
1043,장점,업무의 변화에 빠르게 적응하며 조직의 목표 달성을 위해 노력하는 모습을 보임,,
1044,장점,업무의 전문성이 뛰어나며 항상 솔선수범하는 모습에 배울점이 많습니다,,
1045,장점,"업무 관련 지식이 전문적이며, 부서 관리 업무를 합리적으로 처리하심",,
1046,단점,직급이나 견해 차이와 관계없이 상대를 존중해야하며 정치적인 발언을 삼가야 합니다,,
1047,단점,업무에 책임감이 강하여 본인을 희생하는 부분이 너무 많습니다,,
1048,장점,업무처리 빠르게 진행되요,,
1049,장점,섬세하게 업무를 신경씀,,
1050,장점,정확하고 실수 없는 업무 능력,,
1051,단점,부드러운 회사 분위기를 위하여 직원들께 다가가는 리더쉽이 필요합니다,,
1052,장점,꼼꼼함 업무 파악으로 빈틈이 없도록 노력합니다,,
1053,단점,현장에 대한 이해가 낮아 업무지시 등에 무리한 감이 없지않아 있음,,
1054,단점,조금 더 새로운 방법으로 업무를 진행해보면 좋을 것 같음,,
1055,단점,"세대간, 부서간 소통이 필요함",,
1056,단점,건강하게 잘 지내시기를,,
1057,장점,상황파악과 유불리 판단이 빠름,,
1058,단점,근엄함 보다는 친숙함이 필요합니다,,
1059,단점,업무는 등한시 하며 업무외 간부와의 관계에 집중하는 경향이 있음,,
1060,장점,전문성이 뛰어나고 모르는 것은 끝까지 찾아서 해나가는 의지가 강함,,
1061,장점,전반적으로 업무능력이 뛰어남,,
1062,장점,스스로의 업무를 빈틈없이 처리하며 후배의 모범이 됨,,
1063,단점,업무적인 열의 부족,,
1064,단점,노조일로 인해 항상 바쁩니다,,
1065,단점,동일업무 수행을 오래 해왔으나 여전히 업무능력이 부족하며 매번 하는업무도 실수가 잦음,,
1066,단점,업무의 전문성을 높일 필요가 있다,,
1067,단점,중요한 것과 중요하지 않은 것을 구분하는 능력 필요,,
1068,장점,동료직원과의 원만한 대인관계,,
1069,단점,성과를 크게 보여주지는 못한 것 같습니다,,
1070,단점,부서의 미래를 위해 함께 소통해야함,,
1071,장점,열심히 업무하고 선배들을 도와주려는 모습이 보기 좋습니다,,
1072,장점,적극적이고 솔선 수범하는 업무자세 우수함,,
1073,장점,수평적 의사소통으로 부드러운 리더쉽으로 문제해결 능력이 뛰어남,,
1074,장점,대전 진단기술실 총괄 및 빠른의사결정을 통한 업무효율화,,
1075,장점,학구열이 높음 배우고자 하는 의지,,
1076,단점,적극적인 업무해결이 필요힙니다,,
1077,장점,업무열의와 협업능력이 좋다,,
1078,장점,자기감정을 조절하며 이성적인 대응,,
1079,단점,항상솔선수범하는 자세 귀감이 됩니다,,
1080,장점,맡겨진 일에 대한 열정이 뛰어나고 협업능력이 우수함,,
1081,장점,판단이 빠르고 타인을 생각하는 마음이 있음,,
1082,단점,업무 수행을 위한 기본 절차/기준 등 숙지 필요,,
1083,단점,자신의 주장만 강조하며 다른사람과 협업이 안됨,,
1084,장점,새로운 업무에 대한 적극적인 자세로 변전 정비 업무 수행,,
1085,단점,배우고자 하는 의지 없음,,
1086,장점,타인에 대한 배려심이 훌륭하다,,
1087,장점,ㅇ 수평적 의사소통과 멘토링을 통해 협업문화 활성화,,
1088,단점,자기중심적 사고를 바꾸시면 좋을 것 같습니다,,
1089,단점,다른 사람들과 소통을 더 해가면서 일했으면 함,,
1090,단점,다른 파트원과의 교류가 아쉽,,
1091,단점,보완할 점이 없는 것으로 사려됨,,
1092,장점,업무에 대한 책임감이 큰 편,,
1093,단점,작은 일보다 큰 분야에 관심을 더 가질 필요있음,,
1094,단점,가진바 업무역량을 활용하여 업무범위를 확장하여 기여하려는 노력이 요구됨,,
1095,단점,솔선수범을 보여줄 필요가 있음,,
1096,장점,묵묵히 꼼꼼히 일을 잘합니다,,
1097,장점,혁신주도 자기통제 추진력,,
1098,단점,보완할만한 단점은 없음,,
1099,장점,맡은 업무에도 소홀함이 없이 전문성을 보여주며 최선을 다하는 모습을 항상 보여주심,,
1100,단점,업무적으로 만날 일이 없어서 잘 모르겠다,,
1101,장점,솔직하고 털털한 모습이 운영실의 좋은 분위기를 만드는 데 큰 역할을 하는것 같음,,
1102,단점,다양한 시각으로 바라보는 능력이 미흡,,
1103,장점,자기 담당 선로에 대한 책임감이 강함,,
1104,장점,잘 모르는 분이라 판단 어려움,,
1105,장점,팀원들과의 관계형성에 강점을 보이며 맏은 업무에도 충실함,,
1106,단점,"보안할 점이 없음,",,
1107,단점,너무 솔선수범으로 본인이 피로감에 휩싸임,,
1108,장점,"상대방이해 능력, 조직구성원간 친화력",,
1109,단점,특별히 보완할 문제가 없어 보입니다,,
1110,장점,맡은 업무는 열심히 하는편임,,
1111,장점,"업무 성과지향적 전문성, 리더십과 추진력이 탁월함",,
1112,장점,업무처리능력이 뛰어나며 책임감이 강함,,
1113,단점,별도의 보완 사항 존재하지 않음,,
1114,장점,협업능력과 윤리의식이 매우 돋보임,,
1115,단점,소극적이고 의욕이 없어 보일때가 있다,,
1116,장점,협업능력 및 윤리의식 탁월,,
1117,장점,오랜 경력으로 업무를 원활히 처리함,,
1118,장점,솔선수범하는 업무 추진력,,
1119,단점,필요할땐 당당한 태도를 가지셔도 좋을 듯 합니다,,
1120,장점,분석력과 통찰력이 있어 효율적으로 업무 수행,,
1121,단점,타 부서 업무 협조 등을 위해 소통기회 부족,,
1122,장점,본인 업무 뿐 아니라 타직원 업무 협업능력 우수,,
1123,장점,운영실장님으로서 책임감이 매우강하십니다,,
1124,단점,직원들과 자주 소통의자리를 가지면 좋을듯,,
1125,단점,업무에 좀 더 관심을 가져야 하겠습니다,,
1126,장점,팀원을 리드하며 전체적인 업무흐름을 통솔함,,
1127,단점,여러 업무에 대한 경험이 필요,,
1128,장점,뛰어난 리더십과 소통능력,,
1129,단점,보완필요점 특이사상 없음,,
1130,장점,"전문가적인 업무지식을 바탕으로 부하직원들의 업무능력을 향상시키고, 청렴의식을 바탕으로 상하소통과 배려를 통한 협업분위기 조성에 힘쓰고 있음",,
1131,단점,본인의 건강을 좀 챙겼으면좋겠다,,
1132,단점,타 부서와의 협업사항 수행에 있어 보다 적극적으로 참여하려는 노력 필요,,
1133,장점,모든일에 유연하며 구체적인 계획수립하에 차분히 업무에 임하는자세를 본받을만합니다,,
1134,장점,제어 기술 분야 및 공사처리 능력,,
1135,장점,"네트워크에 기반한 폭넓은 시야, 신속하고 구체적인 계획 수립",,
1136,단점,통화 몇번 해본정도라서 파악이 안됐음,,
1137,장점,열심히 노력하는 자세가 보임,,
1138,장점,노조총무로서 화합 도출로 원만한 직장분위기 조성,,
1139,단점,구시대적 사고(직원 출퇴근 시간 등)가 있음,,
1140,장점,항상 솔선수범하여 맡은바 책임감있게 수행함,,
1141,장점,책임감있는 업무진행 및 쾌활한 관계유지,,
1142,단점,회사 업무보다 본인 이점을 위해 정치질하는 부분 개선,,
1143,장점,고객의 성향에 따라 차분하고 논리적으로 민원 응대 및 해결을 하는 편임,,
1144,단점,자기일에 주도적이고 적극적으로 했으면 한다,,
1145,단점,보완필요점은 제가 판단하기에 없는것으로 사료됩니다,,
1146,단점,잘못한 직원을 방치하고 상관하지 않는다,,
1147,장점,명확한 업무지식으로 부드럽고 정확하게 응대한다,,
1148,단점,보완단점이 필요없습니다,,
1149,단점,부서원 소통력 강화 필요,,
1150,장점,업무경험  열정 참여,,
1151,장점,찾아볼수있는장점이 없음,,
1152,단점,전혀 보완점이 필요 없는 직원,,
1153,장점,전문성을 보유하고 합리적이며 주도면밀한 업무처리로 조직에 대한 기여도가 높음,,
1154,단점,성실하고책임감이투철합니다,,
1155,단점,상호 협조가 안됨,,
1156,장점,모든 일에 적극적으로 참여하며 전문성이 우수합니다,,
1157,장점,일처리가 빠르며 의사소통 원활,,
1158,단점,일을 분리하여 정당한 목소리를 낼 줄 알아야 함,,
1159,단점,자신의 업무 노하우를 좀더 적극적으로 후배들에게 전수해 주었으면 함,,
1160,장점,업무 역량과 집중력이 매우 좋으며 열정적으로 일함,,
1161,장점,온화한 성품을 가지고 계십니다,,
1162,단점,보완점은 없다고 생각합니다,,
1163,단점,타 부서와의 소통이 없음,,
1164,단점,감사업무의 전문성을 계속 높일 필요가 있음,,
1165,장점,업무 전문성이 뛰어나며 자기개발을 위해 노력함,,
1166,장점,저연차임에도 불구하고 탁월한 업무적응능력 보유,,
1167,단점,특별히 찾을 수 없음,,
1168,단점,업무를 차분하고 설득력 있게 처리하고 최선의 모습을 다하고 있음,,
1169,장점,지사 노조위원장님으로 화목한 지사를 만드시는 노고를 전 직원이 칭찬합니다,,
1170,장점,적극적 업무 추진 및 역량 우수,,
1171,단점,동료 직원에 대해 협업이 강하고 자기희생이 강한 직원,,
1172,장점,솔선수범 및 적극적 업무자세,,
1173,장점,"적극적인 업무자세, 원활한 의사소통",,
1174,장점,적극적인 업무처리와 수평적 의사소통,,
1175,단점,"친화력 우수, 폭 넓은 지식",,
1176,장점,책임을감을 가지고 업무를 완벽하게 처리함,,
1177,장점,수평적 의사소통과 부드러운 리더십으로 문제해결에 압장섬,,
1178,단점,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,
1179,장점,맡은업무를 끝까지 마무리하는 책임감이 높고 기술적인 이해도 또한 높음,,
1180,장점,새로운 분야에 높은 지식을 보유함,,
1181,장점,"멘탈이 강하시고, 같은 직원들과도 사이좋게 잘 지내십니다",,
1182,장점,"업무 전문성이 매우 뛰어나고, 완벽한 일처리에 주변의 귀감이 됨",,
1183,장점,팀원들간의 관계를 중요시하며 신뢰성이 두터움,,
1184,장점,"맡은바 업무를 성실하게 수행하고 있으며, 매사 최선을 다하는 태도를 견지하고 있음",,
1185,단점,건강과 여가생활에 더많은 시간을 할애,,
1186,장점,업무의 열의가 강함,,
1187,장점,전문성이 뛰어 납니다,,
1188,장점,책임감이 강하고 맡은업무에 대해서 끝까지 해냅니다,,
1189,장점,업무 전문성과 혁신성이 돋보임,,
1190,장점,항상 자기개방에 힘씀며 꾸준항 자기 관리에 뛰어난 직원입니다,,
1191,장점,전문지식이 뛰어남,,
1192,장점,본인이 모르는 것이 있으면 무조건 찾아보고 알아내야하는 탐구심이 강함,,
1193,장점,"현장 경험 풍부,노하우 보유",,
1194,장점,고성과에 필요한 전문 기술 보유,,
1195,단점,많은 업무를 빈틈업이 하려고 하여 부서원들이 어려워 함,,
1196,단점,업무에 관하여 보다 적극적인 태도가 필요합니다,,
1197,장점,적극적이며 청렴하고 업무지식이 뛰어납니다,,
1198,장점,업무에 헌신적임,,
1199,단점,업무에 대한 열의가 가득하여 본인을 돌보지 않고 일함,,
1200,단점,"실무자들에 대한 존중이 부족하고, 고압적인 지시가 다소 있습니다",,
1201,단점,부서원 배려 노력이 필요함,,
1202,장점,업무에 능동적이며 전문성을 갖추었으며 일처리가 간결 함,,
1203,장점,원만한 대인관계 능력,,
1204,단점,모든 면에서 뛰어난 사람으로 본인 건강을 잘 챙기는 것이 보완필요사항임,,
1205,단점,다른 부서라 업무를 같이 해본적이 없어 평가 불가,,
1206,단점,소통 기회가 더 많았으면 좋겠음,,
1207,장점,"맡은 분야에 뛰어난 업무능력을 가지고 있으며, 맡은 바 소임을 다함",,
1208,단점,후배들과의 소통이 필요,,
1209,장점,자신의 업무분야에서 전문성이 떨어짐,,
1210,장점,다양한 경험에서 나오는 현장이해가 빠르다,,
1211,단점,보다 나은 업무처리를 위해 노력함,,
1212,단점,배울점이 많은 상사이며 선배님으로 보완필요점 없음,,
1213,장점,작원들 중심으로 커뮤니케이션을 시행함,,
1214,단점,신속한 의사결정 판단,,
1215,장점,"잘 모르겠음, 잘 모르겠다",,
1216,장점,교대근무를 통해 맡은 바 소임을 다합니다,,
1217,단점,과다한 업무 수행으로 휴식이 필요해 보임,,
1218,단점,적극적인 문제 해결 노력,,
1219,단점,팀원들에게 일을 미루고 본인은 일을 하지 않은려고 하는 자세,,
1220,장점,업무에 대한 뛰어난 전문성으로 사업소 성과에 큰 기여를 함,,
1221,장점,예의도 바르십니다,,
1222,장점,다년간의 시공경험으로 업무추진이 빠름,,
1223,장점,"업무에 충실하며, 직원들과 소통이 강함",,
1224,장점,전문적 지식과 더불어 직원들과의 교류가 매우 활발하다,,
1225,단점,업무에 대한 열정이 뛰어나 때로는 부담이 됨,,
1226,단점,맡은 바 최선을 다하여 문제 해결,,
1227,장점,팀의 선배역할에 충실함,,
1228,장점,모르는 것에 있어서 알아가려고 하는 모습이 멋있음,,
1229,장점,"상대방에 대한 존중, 배려의 조직문화를 이끌고 공정한 직무수행을 여건을 조성하는 인재입니다",,
1230,단점,다이어트가 필요할거같습니다,,
1231,장점,자기개발에 힘쓰고 항상 배우는 자세로 임함,,
1232,장점,수평적인 의소통과 리더십,,
1233,장점,원활한 소통능력과 자상한 배려심을 보유,,
1234,장점,유연성 갈등조정 판단력,,
1235,장점,"본인의 업무 외 추가적인 업무 배척을 잘함, 목소리가 큼, 이기심이 남들보다 많음",,
1236,단점,"업무 전문성, 열의, 협업",,
1237,장점,빠르고 정확한 업무처리 및 도면업무 지원으로 많은 일을 해냅니다,,
1238,장점,열정을 가지고 주어진 업무를 성실히 이행함,,
1239,단점,환경변화 추세를 명확하게 예측하고 전략과 계획을 수정하여 조직의 변화를 지속적으로 만들어 내야 함,,
1240,장점,꼼꼼하게 업무를 수행하고 안정감과 절제력이 있는 모습이 돋보임,,
1241,장점,"긍정적인 자세와 맡은 일에 최선을 다함, 부서 업무에 적극적임",,
1242,장점,"상급자와 하급자의 다리 역활을 하면, 협업 능력이 띄어남",,
1243,단점,걱정이 많으점을 보완필요,,
1244,장점,책임감을 가지고 업무에 열정적으로 임함,,
1245,단점,보완 필요점이 하나도 없음,,
1246,장점,"차분하고, 업무에 최선을 다하십니다",,
1247,장점,회사생활에 긍적적으로 임함,,
1248,장점,업무스킬이 뛰어나고 빠름,,
1249,단점,아직까지 신사업 성과 도출이나 연구소기업 등 가시적인 성과는 없음,,
